run_id,batch,candidate,case,diagnostic,request_id,status,start_ms,end_ms,elapsed_ms,request_body_bytes,http_proto,tls_alpn,connection_id,got_conn_reused,ttfb_ms,first_event_ms,completion_ms,response_body_bytes,event_bytes,done,cancel_acknowledged,expected_events,received_events,payload_bytes,complete,arrival_gap_ms_n,arrival_gap_ms_min,arrival_gap_ms_p50,arrival_gap_ms_p95,arrival_gap_ms_max,emission_gap_ms_n,emission_gap_ms_min,emission_gap_ms_p50,emission_gap_ms_p95,emission_gap_ms_max,max_active_handlers
measure-01,1,mihomo,fresh-h1-c1,False,req-1789342628242065289-0,PASS,54.783525,30056.44046,30001.65697,4164,HTTP/1.1,http/1.1,6,True,1.074455,51.567966,30001.655583,121417,128,True,False,600,600,76800,True,599,49.113866000000144,50.26609500000086,50.44407599999977,50.64017600000079,599,49.15904700000101,50.29215599999952,50.42879100000209,50.54558899999995,1
measure-01,1,mihomo,fresh-h1-c8,False,req-1789342658494085762-0,PASS,62.430622,30065.131707,30002.701119,4164,HTTP/1.1,http/1.1,24,True,1.644694,52.475441,30002.699652,121423,128,True,False,600,600,76800,True,599,48.829029000000446,50.36163300000044,50.59787899999992,50.954209999999875,599,48.77868099999978,50.384148999999525,50.5658040000003,50.95918000000074,8
measure-01,1,mihomo,fresh-h1-c8,False,req-1789342658494575135-1,PASS,62.920025,30065.234922,30002.314942,4164,HTTP/1.1,http/1.1,13,True,1.444087,51.992907,30002.314406,121424,128,True,False,600,600,76800,True,599,48.82103600000028,50.299966999999924,50.49926100000084,51.52401900000041,599,48.88792900000044,50.357444999997824,50.552791999999954,50.94180800000004,8
measure-01,1,mihomo,fresh-h1-c8,False,req-1789342658494349658-2,PASS,62.694503,30065.152094,30002.457625,4164,HTTP/1.1,http/1.1,22,True,1.652601,52.20653,30002.456918,121432,128,True,False,600,600,76800,True,599,49.08550600000126,50.29404000000068,50.48529899999994,51.5104680000004,599,49.196255999999266,50.35563099999854,50.54667299999983,50.89971799999989,8
measure-01,1,mihomo,fresh-h1-c8,False,req-1789342658494469671-3,PASS,62.814552,30065.221648,30002.40713,4164,HTTP/1.1,http/1.1,19,True,1.236345,52.103421,30002.406512,121412,128,True,False,600,600,76800,True,599,48.95223999999871,50.358587999999145,50.58622800000012,50.96694699999989,599,49.1130749999993,50.40418800000043,50.574866000000384,50.814361999999846,8
measure-01,1,mihomo,fresh-h1-c8,False,req-1789342658494532831-4,PASS,62.877577,30065.208549,30002.331009,4164,HTTP/1.1,http/1.1,14,True,1.49529,52.052631,30002.330316,121431,128,True,False,600,600,76800,True,599,49.05859200000032,50.29815700000108,50.51014100000066,51.53972199999953,599,49.16285400000197,50.356063000001086,50.54938100000004,51.01351399999999,8
measure-01,1,mihomo,fresh-h1-c8,False,req-1789342658494175130-5,PASS,62.519978,30065.231734,30002.711791,4164,HTTP/1.1,http/1.1,15,True,1.971867,52.405557,30002.711069,121425,128,True,False,600,600,76800,True,599,49.083027000000584,50.294826999999714,50.48126599999978,51.50193399999989,599,49.18559000000096,50.358304999999746,50.54067299999997,50.867896,8
measure-01,1,mihomo,fresh-h1-c8,False,req-1789342658494455037-6,PASS,62.799915,30065.194504,30002.394624,4164,HTTP/1.1,http/1.1,23,True,1.582398,52.09381,30002.393069,121419,128,True,False,600,600,76800,True,599,49.09810900000048,50.29390600000261,50.49328699999751,51.51152599999841,599,49.183538000001136,50.36586899999929,50.566587000001164,50.8973739999999,8
measure-01,1,mihomo,fresh-h1-c8,False,req-1789342658494525858-7,PASS,62.870749,30065.218649,30002.347977,4164,HTTP/1.1,http/1.1,21,True,1.501926,51.986345,30002.347148,121409,128,True,False,600,600,76800,True,599,49.12138500000037,50.28730999999971,50.48996700000134,51.53670199999942,599,49.165861999999834,50.35547800000131,50.539995000000005,50.906866000000036,8
measure-01,1,mihomo,fresh-h2-c1,False,req-1789342688737087815-0,PASS,55.18958,30056.838008,30001.648462,4164,HTTP/2.0,h2,28,True,0.899193,51.703255,30001.643034,121412,128,True,False,600,600,76800,True,599,47.731692999997904,50.2423680000029,50.43915599999673,52.52289600000222,599,49.03204399999959,50.26382899999953,50.392233,50.96339599999919,1
measure-01,1,mihomo,fresh-h2-c8,False,req-1789342718998705765-0,PASS,55.439232,30057.795858,30002.35666,4164,HTTP/2.0,h2,32,True,1.377162,52.03293,30002.315311,121417,128,True,False,600,600,76800,True,599,49.061509000000115,50.05335400000149,50.50627499999973,51.16454000000158,599,49.178249000000505,50.07568700000047,50.51454900000317,51.09295100000236,8
measure-01,1,mihomo,fresh-h2-c8,False,req-1789342718998732018-1,PASS,55.465545,30057.806341,30002.34083,4164,HTTP/2.0,h2,32,True,1.25431,52.009072,30002.323036,121435,128,True,False,600,600,76800,True,599,49.062594999999874,50.05308100000002,50.50816699999996,51.077745000000505,599,49.09794800000236,50.07232799999838,50.484285000000455,51.10755100000097,8
measure-01,1,mihomo,fresh-h2-c8,False,req-1789342718998750103-2,PASS,55.483596,30057.802032,30002.318471,4164,HTTP/2.0,h2,32,True,1.238427,51.979372,30002.309614,121415,128,True,False,600,600,76800,True,599,48.95609300000069,50.049245999998675,50.50828200000069,51.05529800000113,599,48.95705399999861,50.05689600000005,50.49802699999782,51.08316299999933,8
measure-01,1,mihomo,fresh-h2-c8,False,req-1789342718998544523-3,PASS,55.277996,30057.793474,30002.515534,4164,HTTP/2.0,h2,32,True,1.419417,52.185095,30002.505793,121412,128,True,False,600,600,76800,True,599,48.880989999999656,50.059651999999915,50.52707999999984,51.028909999999996,599,48.9103240000004,50.07467699999688,50.49437899999975,51.044062999999824,8
measure-01,1,mihomo,fresh-h2-c8,False,req-1789342718998854671-4,PASS,55.588179,30057.790288,30002.202164,4164,HTTP/2.0,h2,32,True,1.244188,51.878623,30002.191643,121401,128,True,False,600,600,76800,True,599,49.05004400000007,50.04775899999731,50.514038999997865,51.10066899999947,599,49.0562609999979,50.06837700000051,50.51017300000058,51.00386399999843,8
measure-01,1,mihomo,fresh-h2-c8,False,req-1789342718998772729-5,PASS,55.506259,30057.787734,30002.281579,4164,HTTP/2.0,h2,32,True,1.323858,51.96208,30002.23528,121406,128,True,False,600,600,76800,True,599,49.0661869999999,50.04122500000085,50.514242999999624,51.10089600000356,599,49.09757600000012,50.05660100000023,50.52058599999873,51.024272999999084,8
measure-01,1,mihomo,fresh-h2-c8,False,req-1789342718998929133-6,PASS,55.662653,30057.741121,30002.078502,4164,HTTP/2.0,h2,32,True,1.171687,51.807055,30002.073824,121409,128,True,False,600,600,76800,True,599,49.02562400000011,50.051226999999926,50.51317800000015,51.12019800000053,599,49.10333199999877,50.065065999999206,50.51161800000045,51.018755999999485,8
