run_id,batch,candidate,case,diagnostic,status,requested_streams,recorded_streams,missing_streams,complete_streams,timeout_streams,failed_streams,event_count,payload_bytes,response_body_bytes,stream_seconds,window_ms,cancel_verified,client_cpu_ms,client_rss_max_kib,server_cpu_ms,server_rss_max_kib,fixture_cpu_ms,fixture_rss_max_kib,client_idle_adjusted_cpu_ms,client_cpu_ms_per_stream_second,client_idle_adjusted_cpu_ms_per_stream_second,client_cpu_ms_per_event,client_idle_adjusted_cpu_ms_per_event,client_cpu_ms_per_payload_mib,client_idle_adjusted_cpu_ms_per_payload_mib
measure-01,1,go,fresh-h2-c1,False,PASS,1,1,0,1,0,0,600,76800,121420,30.001341505,30063.673153,,1180.0,39004,100.0,46460,200.0,14040,1149.9377130020182,39.33157454986945,38.329543124275645,1.9666666666666666,1.9165628550033638,16110.933333333332,15700.482908187556
measure-01,1,go,fresh-h2-c8,False,PASS,8,8,0,8,0,0,4800,614400,971381,240.012826285,30077.482404,,1260.0,40484,140.0,46460,340.0,14040,1229.9239043877255,5.249719440009552,5.124409071902137,0.2625,0.2562341467474428,2150.4,2099.0701301550516
measure-01,1,go,postburst-h1-c1,False,PASS,1,1,0,1,0,0,600,76800,121428,30.001506476,30063.536729,,1110.0,46624,90.0,45448,200.0,14264,1079.937849419728,36.99814210622908,35.99612073759146,1.85,1.7998964156995467,15155.2,14744.751437410687
measure-01,1,go,hy2-correctness-h1,False,PASS,1,1,0,1,0,0,600,76800,121413,30.00145096,30064.593676,True,1200.0,42216,330.0,45680,200.0,14152,1169.936792521461,39.99806548023036,38.996007029170066,2.0,1.9498946542024351,16384.0,15973.537007226349
measure-01,1,go,hy2-correctness-h2,False,PASS,1,1,0,1,0,0,600,76800,121415,30.001563282,30064.552412,True,1230.0,42928,320.0,45680,200.0,13528,1199.9368337835585,40.99786362592517,39.99581030177461,2.05,1.9998947229725976,16793.6,16383.13757059152
measure-02,2,go,postburst-h1-c1,False,PASS,1,1,0,1,0,0,600,76800,121425,30.001489626999998,30066.328607,,1110.0,46716,100.0,43308,230.0,13600,1079.9347684803133,36.998162884587224,35.996038260327595,1.85,1.7998912808005223,15155.2,14744.709372317879
measure-02,2,go,fresh-h2-c8,False,PASS,8,8,0,8,0,0,4800,614400,971328,240.014101772,30074.703723,,1350.0,40876,150.0,43308,430.0,13520,1319.9263936699122,5.6246695091375285,5.499370178356306,0.28125,0.2749846653478984,2304.0,2252.6743785299836
measure-02,2,go,fresh-h2-c1,False,PASS,1,1,0,1,0,0,600,76800,121420,30.001493851,30063.421716,,1080.0,39500,80.0,43728,230.0,13228,1049.937675265244,35.998207468059185,34.99617987289816,1.8,1.7498961254420733,14745.6,14335.149059621464
measure-02,2,go,fresh-h1-c8,False,PASS,8,8,0,8,0,0,4800,614400,971310,240.00939447399998,30078.593373,,1370.0,42148,170.0,44404,230.0,13340,1339.9225041618413,5.708109897124927,5.582791903201914,0.28541666666666665,0.2791505217003836,2338.133333333333,2286.8010737695427
measure-02,2,go,fresh-h1-c1,False,PASS,1,1,0,1,0,0,600,76800,121433,30.001342476,30063.445387,,1060.0,39876,100.0,44668,230.0,13572,1029.9376515951078,35.33175226568484,34.32971882571658,1.7666666666666666,1.716562752658513,14472.533333333333,14062.082069778538
measure-02,2,go,idle,False,PASS,0,0,0,0,0,0,0,0,0,0.0,30001.094707,,30.0,38084,0.0,44668,0.0,13572,0.0,,,,,,
measure-02,2,gvisor,postburst-h1-c1,False,PASS,1,1,0,1,0,0,600,76800,121418,30.001276106000002,30063.335063,,210.0,49036,90.0,44496,230.0,13516,210.0,6.999702254598489,6.999702254598489,0.35,0.35,2867.2,2867.2
