candidate,round,case,sample,index,server_emit_ms,client_arrival_ms,client_gap_ms,server_gap_ms,excess_gap_ms
mihomo,1,sse-c1,0,0,40.312315,45.035433,,,
mihomo,1,sse-c1,0,1,60.706531,65.204774,20.169341000000003,20.394216,-0.22487499999999727
mihomo,1,sse-c1,0,2,80.995294,85.53241,20.327636,20.288763000000003,0.03887299999999527
mihomo,1,sse-c1,0,3,101.277062,105.887217,20.354807000000008,20.281768,0.07303900000000851
mihomo,1,sse-c1,0,4,121.596811,126.333293,20.44607599999999,20.319749,0.1263269999999892
mihomo,1,sse-c1,0,5,141.883533,146.408994,20.07570100000001,20.286721999999997,-0.21102099999998813
mihomo,1,sse-c1,0,6,162.142661,166.714771,20.305777000000006,20.259128000000004,0.04664900000000216
mihomo,1,sse-c1,0,7,182.522446,187.06668,20.351908999999978,20.379785,-0.02787600000002044
mihomo,1,sse-c1,0,8,202.767739,207.354722,20.28804200000002,20.245293000000004,0.0427490000000148
mihomo,1,sse-c1,0,9,223.136686,227.754167,20.399444999999986,20.36894699999999,0.030497999999994363
mihomo,1,sse-c1,0,10,243.428393,247.963146,20.208979,20.291707000000002,-0.08272800000000302
mihomo,1,sse-c1,0,11,263.758598,268.323553,20.36040700000001,20.330205000000007,0.030202000000002727
mihomo,1,sse-c1,0,12,284.002176,288.562838,20.239284999999995,20.243578000000014,-0.00429300000001831
mihomo,1,sse-c1,0,13,304.308554,308.827589,20.26475099999999,20.306377999999995,-0.04162700000000541
mihomo,1,sse-c1,0,14,324.586225,329.145877,20.318287999999995,20.277670999999998,0.04061699999999746
mihomo,1,sse-c1,0,15,344.890594,349.483015,20.33713800000004,20.30436900000001,0.032769000000030246
mihomo,1,sse-c1,1,0,40.3521,41.2006,,,
mihomo,1,sse-c1,1,1,60.645997,61.432768,20.232168,20.293897,-0.0617289999999997
mihomo,1,sse-c1,1,2,80.938498,81.772267,20.339498999999996,20.292500999999994,0.046998000000002094
mihomo,1,sse-c1,1,3,101.231865,102.114536,20.342269,20.293367000000003,0.048901999999998225
mihomo,1,sse-c1,1,4,121.649421,122.546178,20.431641999999997,20.417556000000005,0.014085999999991827
mihomo,1,sse-c1,1,5,141.941538,142.827783,20.281605000000013,20.292117000000005,-0.010511999999991417
mihomo,1,sse-c1,1,6,162.230338,163.13174,20.303956999999997,20.28879999999998,0.015157000000016296
mihomo,1,sse-c1,1,7,182.488671,183.411963,20.280222999999978,20.25833300000002,0.021889999999956444
mihomo,1,sse-c1,1,8,202.859426,203.70163,20.28966700000001,20.370755000000003,-0.08108799999999405
mihomo,1,sse-c1,1,9,223.128548,223.992314,20.290684,20.26912199999998,0.02156200000001718
mihomo,1,sse-c1,1,10,243.495237,244.382514,20.390199999999993,20.366689000000008,0.02351099999998496
mihomo,1,sse-c1,1,11,263.853077,264.687089,20.30457500000003,20.35783999999998,-0.05326499999995349
mihomo,1,sse-c1,1,12,284.103155,284.949837,20.262747999999988,20.25007800000003,0.012669999999957327
mihomo,1,sse-c1,1,13,304.604622,305.436684,20.48684700000001,20.50146699999999,-0.014619999999979427
mihomo,1,sse-c1,1,14,324.906391,325.779662,20.34297799999996,20.30176899999998,0.04120899999998073
mihomo,1,sse-c1,1,15,345.197059,346.100678,20.321016000000043,20.29066800000004,0.030348000000003594
mihomo,1,sse-c1,2,0,40.365809,41.364722,,,
mihomo,1,sse-c1,2,1,60.717721,61.588424,20.223702000000003,20.351912,-0.12820999999999572
mihomo,1,sse-c1,2,2,81.001063,81.852485,20.264060999999998,20.283342000000005,-0.019281000000006543
mihomo,1,sse-c1,2,3,101.358827,102.213683,20.361198,20.357764000000003,0.003433999999998605
mihomo,1,sse-c1,2,4,121.65919,122.504142,20.290459,20.30036299999999,-0.009903999999991697
mihomo,1,sse-c1,2,5,141.971955,142.831188,20.327045999999996,20.312765000000013,0.014280999999982669
mihomo,1,sse-c1,2,6,162.256442,163.115159,20.283971000000008,20.284486999999984,-0.0005159999999762022
mihomo,1,sse-c1,2,7,182.538961,183.401197,20.28603799999999,20.282519000000008,0.0035189999999829524
mihomo,1,sse-c1,2,8,202.841034,203.664703,20.263506000000007,20.302073000000007,-0.03856700000000046
mihomo,1,sse-c1,2,9,223.179886,224.049927,20.385223999999994,20.338852000000003,0.046371999999990976
mihomo,1,sse-c1,2,10,243.464968,244.315311,20.26538400000001,20.28508199999999,-0.0196979999999769
mihomo,1,sse-c1,2,11,263.756531,264.611133,20.295821999999987,20.291562999999996,0.004258999999990465
mihomo,1,sse-c1,2,12,284.037613,284.875729,20.264595999999983,20.281082000000026,-0.016486000000043077
mihomo,1,sse-c1,2,13,304.325302,305.186129,20.310400000000016,20.287689,0.022711000000015247
mihomo,1,sse-c1,2,14,324.665923,325.554268,20.368138999999985,20.340621,0.027517999999986387
mihomo,1,sse-c1,2,15,344.983486,345.828472,20.274203999999997,20.317563000000007,-0.04335900000000947
mihomo,1,sse-c1,3,0,40.329726,41.064043,,,
mihomo,1,sse-c1,3,1,60.647202,61.448487,20.384444000000002,20.317476,0.0669680000000028
mihomo,1,sse-c1,3,2,80.983644,81.688422,20.239935000000003,20.336441999999998,-0.09650699999999546
mihomo,1,sse-c1,3,3,101.259153,102.001595,20.313172999999992,20.275509,0.03766399999999237
mihomo,1,sse-c1,3,4,121.582074,122.321604,20.320009,20.322921000000008,-0.0029120000000091295
mihomo,1,sse-c1,3,5,141.887731,142.588966,20.267362000000006,20.305656999999997,-0.038294999999990864
mihomo,1,sse-c1,3,6,162.188605,162.922872,20.333906000000013,20.300873999999993,0.033032000000019934
mihomo,1,sse-c1,3,7,182.538601,183.309985,20.387113,20.349996000000004,0.03711699999999496
mihomo,1,sse-c1,3,8,202.904477,203.61554,20.305555,20.365876000000014,-0.060321000000016056
mihomo,1,sse-c1,3,9,223.161758,223.897023,20.28148299999998,20.257280999999978,0.0242020000000025
mihomo,1,sse-c1,3,10,243.400853,244.145581,20.248558000000003,20.23909500000002,0.009462999999982458
mihomo,1,sse-c1,3,11,263.706338,264.406239,20.260658000000035,20.305485000000004,-0.04482699999996953
mihomo,1,sse-c1,3,12,283.994001,284.663865,20.25762599999996,20.28766300000001,-0.03003700000004983
mihomo,1,sse-c1,3,13,304.402139,305.195089,20.53122400000001,20.40813799999995,0.12308600000005754
mihomo,1,sse-c1,3,14,324.727893,325.43358,20.23849100000001,20.325754000000018,-0.0872630000000072
mihomo,1,sse-c1,3,15,345.054544,345.739626,20.30604599999998,20.326651000000027,-0.020605000000045948
mihomo,1,sse-c1,4,0,40.35999,41.185458,,,
mihomo,1,sse-c1,4,1,60.634727,61.448271,20.262813,20.274736999999995,-0.011923999999993384
mihomo,1,sse-c1,4,2,80.947832,81.817819,20.369548,20.313105000000007,0.05644299999999447
mihomo,1,sse-c1,4,3,101.277838,102.061178,20.243358999999998,20.330005999999997,-0.08664699999999925
mihomo,1,sse-c1,4,4,121.567678,122.432129,20.370951000000005,20.289839999999998,0.08111100000000704
mihomo,1,sse-c1,4,5,141.915147,142.706913,20.274783999999983,20.34746899999999,-0.072685000000007
mihomo,1,sse-c1,4,6,162.173822,162.97794,20.271027000000004,20.25867500000001,0.012351999999992813
mihomo,1,sse-c1,4,7,182.478079,183.282516,20.304575999999997,20.304257000000007,0.0003189999999904103
mihomo,1,sse-c1,4,8,202.765868,203.604631,20.322115000000025,20.287789000000004,0.034326000000021395
mihomo,1,sse-c1,4,9,223.039986,223.847732,20.243100999999996,20.274117999999987,-0.031016999999991413
mihomo,1,sse-c1,4,10,243.346278,244.198251,20.35051899999999,20.306292000000013,0.044226999999978034
mihomo,1,sse-c1,4,11,263.678805,264.540017,20.34176599999998,20.332527,0.009238999999979569
mihomo,1,sse-c1,4,12,283.966646,284.783409,20.24339200000003,20.287841000000014,-0.04444899999998597
mihomo,1,sse-c1,4,13,304.261201,305.065953,20.282543999999973,20.294555000000003,-0.012011000000029526
mihomo,1,sse-c1,4,14,324.529541,325.375892,20.309939000000043,20.268339999999966,0.0415990000000761
mihomo,1,sse-c1,4,15,344.908633,345.760654,20.384761999999967,20.379092000000014,0.005669999999952324
mihomo,1,sse-c1,5,0,40.338048,41.086229,,,
mihomo,1,sse-c1,5,1,60.638954,61.340815,20.254585999999996,20.300905999999998,-0.04632000000000147
mihomo,1,sse-c1,5,2,80.902338,81.649455,20.308640000000004,20.263384000000002,0.04525600000000196
mihomo,1,sse-c1,5,3,101.260566,101.972397,20.322941999999998,20.358227999999997,-0.03528599999999926
mihomo,1,sse-c1,5,4,121.533851,122.229617,20.257220000000004,20.273285,-0.016064999999997553
mihomo,1,sse-c1,5,5,141.841247,142.541408,20.311790999999985,20.30739600000001,0.0043949999999739475
mihomo,1,sse-c1,5,6,162.141681,162.879685,20.338277000000005,20.300433999999996,0.0378430000000094
mihomo,1,sse-c1,5,7,182.423743,183.158575,20.27889000000002,20.282061999999996,-0.0031719999999779702
mihomo,1,sse-c1,5,8,202.746411,203.462065,20.303489999999982,20.322667999999993,-0.019178000000010798
mihomo,1,sse-c1,5,9,223.081876,223.870265,20.408199999999994,20.335465,0.07273499999999444
mihomo,1,sse-c1,5,10,243.472066,244.165775,20.295510000000007,20.39019000000002,-0.09468000000001098
mihomo,1,sse-c1,5,11,263.77183,264.540255,20.374480000000005,20.29976400000001,0.07471599999999512
mihomo,1,sse-c1,5,12,284.067628,284.80828,20.268025000000023,20.29579799999999,-0.02777299999996785
mihomo,1,sse-c1,5,13,304.41845,305.159314,20.35103399999997,20.350821999999994,0.00021199999997634222
mihomo,1,sse-c1,5,14,324.689491,325.405728,20.246414000000016,20.27104099999997,-0.02462699999995266
mihomo,1,sse-c1,5,15,344.9758,345.67833,20.272602000000006,20.286309000000017,-0.013707000000010794
mihomo,1,sse-c1,6,0,40.280388,41.115775,,,
mihomo,1,sse-c1,6,1,60.663799,61.371785,20.256010000000003,20.383410999999995,-0.12740099999999188
mihomo,1,sse-c1,6,2,80.931357,81.64119,20.269404999999992,20.267558000000008,0.0018469999999837228
mihomo,1,sse-c1,6,3,101.230102,101.965257,20.324067,20.298744999999997,0.02532200000000273
mihomo,1,sse-c1,6,4,121.585647,122.342231,20.376974000000004,20.355544999999992,0.02142900000001191
mihomo,1,sse-c1,6,5,141.926781,142.650836,20.308605,20.34113400000001,-0.03252900000001091
mihomo,1,sse-c1,6,6,162.201285,162.951543,20.30070699999999,20.274504000000007,0.026202999999981103
mihomo,1,sse-c1,6,7,182.556074,183.311283,20.359740000000016,20.354788999999982,0.0049510000000339005
mihomo,1,sse-c1,6,8,202.890752,203.615909,20.304625999999985,20.334677999999997,-0.030052000000011958
mihomo,1,sse-c1,6,9,223.163906,223.867992,20.252083,20.273154000000005,-0.02107100000000628
mihomo,1,sse-c1,6,10,243.484201,244.238824,20.370832000000007,20.320295000000016,0.050536999999991394
mihomo,1,sse-c1,6,11,263.758463,264.462166,20.22334200000003,20.274261999999993,-0.05091999999996233
mihomo,1,sse-c1,6,12,284.116238,284.82955,20.36738399999996,20.357775000000004,0.009608999999954904
mihomo,1,sse-c1,6,13,304.384198,305.094805,20.265255000000025,20.267960000000016,-0.002704999999991742
mihomo,1,sse-c1,6,14,324.691463,325.395276,20.300471000000016,20.307264999999973,-0.006793999999956668
mihomo,1,sse-c1,6,15,345.034809,345.757466,20.36219,20.343345999999997,0.018844000000001415
mihomo,1,sse-c1,7,0,40.344324,41.246647,,,
mihomo,1,sse-c1,7,1,60.694606,61.524684,20.278036999999998,20.350282,-0.07224500000000234
mihomo,1,sse-c1,7,2,81.010396,81.797869,20.273185000000005,20.31579,-0.042604999999994675
mihomo,1,sse-c1,7,3,101.298172,102.063623,20.265754,20.287775999999994,-0.02202199999999266
mihomo,1,sse-c1,7,4,121.653196,122.430792,20.36716899999999,20.355024,0.012144999999989636
mihomo,1,sse-c1,7,5,141.97125,142.78338,20.352587999999997,20.318054000000004,0.034533999999993625
mihomo,1,sse-c1,7,6,162.254878,163.035439,20.252059000000003,20.283627999999993,-0.03156899999999041
mihomo,1,sse-c1,7,7,182.509828,183.351478,20.31603899999999,20.254950000000008,0.0610889999999813
mihomo,1,sse-c1,7,8,202.814536,203.602228,20.25075000000001,20.304708000000005,-0.0539579999999944
mihomo,1,sse-c1,7,9,223.199497,223.976225,20.373997000000003,20.384961000000004,-0.010964000000001306
mihomo,1,sse-c1,7,10,243.451926,244.246493,20.270267999999987,20.252428999999978,0.017839000000009264
mihomo,1,sse-c1,7,11,263.750546,264.574767,20.32827400000002,20.29862,0.02965400000002205
mihomo,1,sse-c1,7,12,284.022872,284.806971,20.232203999999967,20.27232600000002,-0.040122000000053504
mihomo,1,sse-c1,7,13,304.332237,305.167144,20.36017300000003,20.309365000000014,0.05080800000001773
mihomo,1,sse-c1,7,14,324.618601,325.396567,20.229422999999997,20.286363999999992,-0.0569409999999948
mihomo,1,sse-c1,7,15,344.927643,345.689725,20.293158000000005,20.309041999999977,-0.015883999999971365
mihomo,2,sse-c1,0,0,40.294865,45.333721,,,
mihomo,2,sse-c1,0,1,60.626002,65.622133,20.288412000000008,20.331137,-0.04272499999999013
mihomo,2,sse-c1,0,2,80.937135,85.850671,20.228538,20.311132999999998,-0.08259499999999775
mihomo,2,sse-c1,0,3,101.249661,106.195334,20.344662999999997,20.312526000000005,0.032136999999991644
mihomo,2,sse-c1,0,4,121.590124,126.546971,20.351636999999997,20.340463,0.011173999999996909
mihomo,2,sse-c1,0,5,141.941488,146.925034,20.37806300000001,20.35136399999999,0.02669900000002201
mihomo,2,sse-c1,0,6,162.26602,167.276547,20.351512999999983,20.324532000000005,0.02698099999997794
mihomo,2,sse-c1,0,7,182.580374,187.54364,20.267093000000017,20.31435400000001,-0.04726099999999178
mihomo,2,sse-c1,0,8,203.141629,208.653273,21.109633000000002,20.56125499999999,0.5483780000000138
mihomo,2,sse-c1,0,9,223.662647,228.57181,19.918536999999986,20.521017999999998,-0.6024810000000116
mihomo,2,sse-c1,0,10,243.947912,248.852071,20.280260999999996,20.28526500000001,-0.005004000000013775
mihomo,2,sse-c1,0,11,264.325023,269.233016,20.380945000000025,20.377110999999985,0.003834000000040305
mihomo,2,sse-c1,0,12,284.620741,289.584841,20.351824999999963,20.295718000000022,0.0561069999999404
mihomo,2,sse-c1,0,13,304.953183,309.913013,20.328171999999995,20.332442000000015,-0.004270000000019536
mihomo,2,sse-c1,0,14,325.274194,330.207381,20.29436800000002,20.321011,-0.026642999999978656
mihomo,2,sse-c1,0,15,345.635266,350.71542,20.508038999999997,20.36107199999998,0.14696700000001783
mihomo,2,sse-c1,1,0,40.488469,41.526497,,,
mihomo,2,sse-c1,1,1,60.86131,61.882149,20.355652,20.372841,-0.017189000000001897
mihomo,2,sse-c1,1,2,81.261384,82.198367,20.316218000000006,20.400074000000004,-0.08385599999999727
mihomo,2,sse-c1,1,3,101.607828,102.514226,20.31585899999999,20.34644399999999,-0.030585000000002083
mihomo,2,sse-c1,1,4,121.971706,122.827413,20.313187000000013,20.363878,-0.050690999999986275
mihomo,2,sse-c1,1,5,142.307066,143.277397,20.449984,20.335359999999994,0.11462400000000628
mihomo,2,sse-c1,1,6,162.655545,163.631695,20.354298,20.348478999999998,0.005819000000002461
mihomo,2,sse-c1,1,7,182.997324,184.035755,20.404059999999987,20.341779000000002,0.06228099999998449
mihomo,2,sse-c1,1,8,203.462141,204.343682,20.307927000000007,20.46481700000001,-0.1568900000000042
mihomo,2,sse-c1,1,9,223.848052,224.798352,20.454669999999993,20.385910999999993,0.06875900000000001
mihomo,2,sse-c1,1,10,244.201216,245.22079,20.422438,20.353163999999992,0.06927400000000716
mihomo,2,sse-c1,1,11,264.644425,265.614798,20.394008000000014,20.443209000000024,-0.04920100000001071
mihomo,2,sse-c1,1,12,285.062161,286.123179,20.508380999999986,20.41773599999999,0.09064499999999498
mihomo,2,sse-c1,1,13,305.476692,306.583773,20.460594000000015,20.41453100000001,0.04606300000000374
mihomo,2,sse-c1,1,14,325.940089,327.111785,20.52801199999999,20.463396999999986,0.06461500000000342
mihomo,2,sse-c1,1,15,346.353025,347.556034,20.444249000000013,20.412936000000002,0.03131300000001147
mihomo,2,sse-c1,2,0,40.355241,41.556186,,,
mihomo,2,sse-c1,2,1,60.758218,61.794232,20.238046000000004,20.402977,-0.16493099999999572
mihomo,2,sse-c1,2,2,81.118199,82.264436,20.470204000000003,20.359981000000005,0.11022299999999774
mihomo,2,sse-c1,2,3,101.594749,102.739463,20.475026999999997,20.47654999999999,-0.0015229999999917254
mihomo,2,sse-c1,2,4,122.053494,123.112029,20.372566000000006,20.458745000000008,-0.08617900000000134
mihomo,2,sse-c1,2,5,142.464388,143.506952,20.394923000000006,20.410894000000013,-0.015971000000007507
mihomo,2,sse-c1,2,6,162.830793,163.754047,20.247095,20.366404999999986,-0.11930999999998448
mihomo,2,sse-c1,2,7,183.188581,184.276734,20.52268699999999,20.357788,0.16489899999999125
mihomo,2,sse-c1,2,8,203.700489,204.74643,20.469696,20.511908000000005,-0.042212000000006356
mihomo,2,sse-c1,2,9,224.128357,225.294528,20.54809800000001,20.42786799999999,0.12023000000002071
mihomo,2,sse-c1,2,10,244.28786,245.286066,19.99153799999999,20.159503,-0.16796500000000947
mihomo,2,sse-c1,2,11,264.733743,265.700732,20.41466600000001,20.44588300000001,-0.031216999999998052
mihomo,2,sse-c1,2,12,285.153098,286.393527,20.69279499999999,20.419354999999996,0.2734399999999937
mihomo,2,sse-c1,2,13,305.638305,306.627351,20.23382399999997,20.485207000000003,-0.25138300000003255
mihomo,2,sse-c1,2,14,326.017464,327.03308,20.405729000000008,20.379159000000016,0.026569999999992433
mihomo,2,sse-c1,2,15,346.419479,347.457811,20.42473100000001,20.402015000000006,0.022716000000002623
mihomo,2,sse-c1,3,0,40.651915,41.62335,,,
mihomo,2,sse-c1,3,1,61.106306,62.033206,20.409855999999998,20.454390999999994,-0.044534999999996217
mihomo,2,sse-c1,3,2,81.458586,82.322782,20.289576000000004,20.35228,-0.06270399999999654
mihomo,2,sse-c1,3,3,101.79044,102.617803,20.29502099999999,20.331854000000007,-0.03683300000001566
mihomo,2,sse-c1,3,4,122.15086,123.078354,20.46055100000001,20.36041999999999,0.10013100000001884
mihomo,2,sse-c1,3,5,142.54476,143.33165,20.25329599999999,20.393900000000002,-0.1406040000000104
mihomo,2,sse-c1,3,6,162.963881,163.876616,20.544966000000016,20.41912099999999,0.12584500000002663
mihomo,2,sse-c1,3,7,183.330408,184.221801,20.345184999999987,20.36652700000002,-0.021342000000032613
mihomo,2,sse-c1,3,8,203.719183,204.698457,20.47665599999999,20.38877499999998,0.08788100000001009
mihomo,2,sse-c1,3,9,224.151013,225.107455,20.408997999999997,20.43183000000002,-0.02283200000002239
mihomo,2,sse-c1,3,10,244.593262,245.565411,20.457956000000024,20.442249000000004,0.015707000000020344
mihomo,2,sse-c1,3,11,264.935161,265.863458,20.29804699999997,20.341898999999984,-0.04385200000001532
mihomo,2,sse-c1,3,12,285.295106,286.281874,20.418416000000036,20.359944999999982,0.05847100000005412
mihomo,2,sse-c1,3,13,305.735035,306.716255,20.434380999999973,20.439929000000006,-0.005548000000032971
mihomo,2,sse-c1,3,14,326.082589,327.00175,20.285495000000026,20.347554000000002,-0.06205899999997655
mihomo,2,sse-c1,3,15,346.437604,347.204744,20.20299399999999,20.355015000000037,-0.15202100000004748
mihomo,2,sse-c1,4,0,40.442172,41.404766,,,
mihomo,2,sse-c1,4,1,60.854832,61.68449,20.279723999999995,20.412660000000002,-0.13293600000000794
mihomo,2,sse-c1,4,2,81.201145,82.037763,20.353273,20.346312999999995,0.0069600000000065165
mihomo,2,sse-c1,4,3,101.613019,102.377546,20.339782999999997,20.411873999999997,-0.07209100000000035
mihomo,2,sse-c1,4,4,122.011481,122.832418,20.45487200000001,20.39846200000001,0.05640999999999963
mihomo,2,sse-c1,4,5,142.412209,143.201105,20.36868700000001,20.400727999999987,-0.032040999999978226
mihomo,2,sse-c1,4,6,162.767427,163.503647,20.30254199999999,20.355218000000008,-0.052676000000019485
mihomo,2,sse-c1,4,7,183.105234,183.867243,20.363596,20.337806999999998,0.02578900000000317
mihomo,2,sse-c1,4,8,203.465866,204.296061,20.428818000000007,20.36063200000001,0.0681859999999972
mihomo,2,sse-c1,4,9,223.859722,224.682138,20.386077,20.393856,-0.007778999999999314
mihomo,2,sse-c1,4,10,244.268444,245.099403,20.417264999999986,20.408721999999983,0.008543000000003076
mihomo,2,sse-c1,4,11,264.727386,265.758789,20.659385999999984,20.458942000000036,0.20044399999994766
mihomo,2,sse-c1,4,12,285.177888,286.031486,20.272696999999994,20.45050199999997,-0.177804999999978
mihomo,2,sse-c1,4,13,305.656257,306.424196,20.392710000000022,20.478368999999986,-0.08565899999996418
mihomo,2,sse-c1,4,14,326.011162,326.840393,20.41619700000001,20.35490500000003,0.06129199999998036
mihomo,2,sse-c1,4,15,346.360017,347.15056,20.31016699999998,20.348855000000015,-0.03868800000003603
mihomo,2,sse-c1,5,0,40.395485,41.407448,,,
mihomo,2,sse-c1,5,1,60.840135,61.757908,20.350459999999998,20.444649999999996,-0.09418999999999755
mihomo,2,sse-c1,5,2,81.323048,82.218629,20.460721000000007,20.482913000000003,-0.02219199999999688
mihomo,2,sse-c1,5,3,101.775154,102.618954,20.400324999999995,20.452106,-0.051781000000005406
mihomo,2,sse-c1,5,4,122.235351,123.045334,20.426379999999995,20.460196999999994,-0.0338169999999991
mihomo,2,sse-c1,5,5,142.637364,143.553077,20.507743000000005,20.402012999999997,0.10573000000000832
mihomo,2,sse-c1,5,6,163.041376,163.956167,20.40308999999999,20.404012000000023,-0.0009220000000311757
mihomo,2,sse-c1,5,7,183.448705,184.242764,20.286597,20.407328999999976,-0.12073199999997541
mihomo,2,sse-c1,5,8,203.854846,204.698129,20.455365,20.40614100000002,0.04922399999998106
mihomo,2,sse-c1,5,9,224.290825,225.108668,20.410539,20.435979000000003,-0.025440000000003238
mihomo,2,sse-c1,5,10,244.677964,245.576387,20.467719000000017,20.38713899999999,0.08058000000002608
