candidate,round,case,expected,emitted,passed,failed,timeouts,missing,success_rate,elapsed_ms,worker_wall_ms,request_body_bytes,response_body_bytes,verified_reply_bytes,reply_mbps,client_cpu_ms,client_rss_max_sampled_kib,server_cpu_ms,server_rss_max_sampled_kib,fixture_cpu_ms,fixture_rss_max_sampled_kib
gvisor,1,burst-c8,40,40,40,0,0,0,1.0,35.095768,41.326061,165320,5243320,5242880,1195.1024978282283,60.0,46756,20.0,44292,30.0,13404
gvisor,2,burst-c8,40,40,40,0,0,0,1.0,37.179636,43.313539,165320,5243320,5242880,1128.118629241018,60.0,47048,30.0,45780,20.0,13564
gvisor,3,burst-c8,40,40,40,0,0,0,1.0,30.371863,36.576492,165320,5243320,5242880,1380.983445105096,50.0,47324,20.0,46024,30.0,13668
gvisor,1,burst-c16,40,40,40,0,0,0,1.0,41.158731,46.465411,165320,5243320,5242880,1019.0557138411287,70.0,49000,40.0,44716,30.0,13404
gvisor,2,burst-c16,40,40,40,0,0,0,1.0,43.410303,49.331083,165320,5243320,5242880,966.2001207409219,80.0,49116,30.0,45544,40.0,13068
gvisor,3,burst-c16,40,40,40,0,0,0,1.0,34.845714,41.542059,165320,5243320,5242880,1203.6785930114677,60.0,48872,30.0,46980,30.0,13668
gvisor,1,prompt-32k,8,8,8,0,0,0,1.0,24.127823,29.334177,262432,262232,262144,86.91840950590527,10.0,49000,0.0,44716,0.0,13028
gvisor,2,prompt-32k,8,8,8,0,0,0,1.0,24.222539,29.861128,262432,262232,262144,86.57853745224644,0.0,49116,10.0,45544,10.0,13068
gvisor,3,prompt-32k,8,8,8,0,0,0,1.0,24.021212,29.575617,262432,262232,262144,87.30417099686728,10.0,48872,0.0,46980,10.0,13540
gvisor,1,sse-c1,8,8,8,0,0,0,1.0,2774.445113,2779.86712,33056,534524,524288,1.51176319197921,80.0,49000,20.0,44716,50.0,12580
gvisor,2,sse-c1,8,8,8,0,0,0,1.0,2776.066819,2781.641997,33056,534528,524288,1.5108800592598415,80.0,49116,20.0,45544,40.0,13220
gvisor,3,sse-c1,8,8,8,0,0,0,1.0,2778.565608,2784.107393,33056,534528,524288,1.5095213112563655,90.0,49184,20.0,46980,50.0,13112
gvisor,1,sse-c8,16,16,16,0,0,0,1.0,708.677618,714.922634,66112,1069039,1048576,11.836987350713818,80.0,49260,30.0,44716,20.0,12900
gvisor,2,sse-c8,16,16,16,0,0,0,1.0,703.980396,709.905279,66112,1069039,1048576,11.915968182727633,70.0,49968,20.0,45544,30.0,13084
gvisor,3,sse-c8,16,16,16,0,0,0,1.0,705.860183,711.601994,66112,1069052,1048576,11.884234586440755,50.0,49444,30.0,46980,30.0,12920
gvisor,1,backup-burst,8,8,8,0,0,0,1.0,12.476913,18.105464,33056,262232,262144,168.08260184229866,0.0,42260,10.0,44716,0.0,12900
gvisor,2,backup-burst,8,8,8,0,0,0,1.0,12.212321,17.409562,33056,262232,262144,171.72427747354496,20.0,42964,0.0,45544,10.0,12996
gvisor,3,backup-burst,8,8,8,0,0,0,1.0,14.108131,19.801346,33056,262232,262144,148.64846378304824,10.0,41800,0.0,47212,0.0,12920
gvisor,1,backup-sse,2,2,2,0,0,0,1.0,695.588669,700.883625,8264,133632,131072,1.5074656139920533,30.0,42260,10.0,44716,20.0,12900
gvisor,2,backup-sse,2,2,2,0,0,0,1.0,694.550902,700.261095,8264,133631,131072,1.5097180019211898,30.0,43312,20.0,45544,10.0,12996
gvisor,3,backup-sse,2,2,2,0,0,0,1.0,698.040667,703.849288,8264,133630,131072,1.5021703599397886,40.0,42100,30.0,47212,10.0,12920
go,1,cold-burst-c1,24,24,24,0,0,0,1.0,223.939839,230.649652,99192,3145992,3145728,112.37761048850267,60.0,43176,70.0,45072,50.0,13200
go,2,cold-burst-c1,24,24,24,0,0,0,1.0,234.530715,240.430297,99192,3145992,3145728,107.30289207535141,60.0,42404,60.0,45932,50.0,13448
go,3,cold-burst-c1,24,24,24,0,0,0,1.0,232.370427,238.107945,99192,3145992,3145728,108.3004594211982,60.0,42948,60.0,47212,50.0,13544
go,1,reuse-burst-c1,32,32,32,0,0,0,1.0,48.554665,54.53455,132256,4194656,4194304,691.0650500832412,30.0,43416,20.0,45072,10.0,13524
go,2,reuse-burst-c1,32,32,32,0,0,0,1.0,46.943785,52.690178,132256,4194656,4194304,714.7790064222559,10.0,42660,10.0,45932,20.0,13448
go,3,reuse-burst-c1,32,32,32,0,0,0,1.0,46.186043,52.15313,132256,4194656,4194304,726.5058840394706,20.0,43188,10.0,45600,20.0,13436
go,1,burst-c8,40,40,40,0,0,0,1.0,33.125337,39.02458,165320,5243320,5242880,1266.192099419245,30.0,45368,20.0,45380,30.0,13524
go,2,burst-c8,40,40,40,0,0,0,1.0,35.804502,41.288609,165320,5243320,5242880,1171.445981848875,30.0,44868,30.0,45932,30.0,13304
go,3,burst-c8,40,40,40,0,0,0,1.0,30.19781,35.649852,165320,5243320,5242880,1388.943105476854,20.0,45436,30.0,45728,30.0,13272
go,1,burst-c16,40,40,40,0,0,0,1.0,43.641985,49.272618,165320,5243320,5242880,961.0708587155236,50.0,46916,30.0,45380,30.0,13508
go,2,burst-c16,40,40,40,0,0,0,1.0,33.655998,39.619164,165320,5243320,5242880,1246.2277897687065,40.0,46584,30.0,45348,30.0,13684
go,3,burst-c16,40,40,40,0,0,0,1.0,41.114775,46.931193,165320,5243320,5242880,1020.1451911143864,60.0,47368,20.0,45172,40.0,13404
go,1,prompt-32k,8,8,8,0,0,0,1.0,17.25221,22.523872,262432,262232,262144,121.55845540948086,0.0,47172,10.0,45380,10.0,13160
go,2,prompt-32k,8,8,8,0,0,0,1.0,18.356048,23.862696,262432,262232,262144,114.24855720577762,20.0,46844,20.0,45348,10.0,13684
go,3,prompt-32k,8,8,8,0,0,0,1.0,20.348957,26.637788,262432,262232,262144,103.05943444668934,0.0,47368,10.0,45172,10.0,13404
go,1,sse-c1,8,8,8,0,0,0,1.0,2783.893163,2789.402017,33056,534527,524288,1.5066325302082002,230.0,47172,30.0,45380,60.0,13296
go,2,sse-c1,8,8,8,0,0,0,1.0,2775.112246,2780.780272,33056,534515,524288,1.5113997662781384,220.0,47084,10.0,45348,50.0,12780
go,3,sse-c1,8,8,8,0,0,0,1.0,2780.315043,2786.029977,33056,534525,524288,1.508571487450676,230.0,47368,30.0,45172,50.0,13540
go,1,sse-c8,16,16,16,0,0,0,1.0,703.891338,709.927378,66112,1069037,1048576,11.917475819257772,80.0,48360,20.0,45616,40.0,13284
go,2,sse-c8,16,16,16,0,0,0,1.0,709.752617,715.62651,66112,1069040,1048576,11.819058921483343,110.0,47084,40.0,45348,30.0,13412
go,3,sse-c8,16,16,16,0,0,0,1.0,712.145743,718.248645,66112,1069036,1048576,11.779341634005947,110.0,48260,20.0,45172,30.0,12796
go,1,backup-burst,8,8,8,0,0,0,1.0,10.549041,15.720358,33056,262232,262144,198.8002511318327,10.0,41576,10.0,45840,0.0,13140
go,2,backup-burst,8,8,8,0,0,0,1.0,10.394237,15.897408,33056,262232,262144,201.76103354195214,10.0,40928,0.0,45588,10.0,13412
go,3,backup-burst,8,8,8,0,0,0,1.0,11.686396,17.226177,33056,262232,262144,179.45241629669232,0.0,41080,10.0,45172,0.0,12796
go,1,backup-sse,2,2,2,0,0,0,1.0,695.341197,700.619284,8264,133628,131072,1.508002121151467,60.0,41912,20.0,45840,10.0,13140
go,2,backup-sse,2,2,2,0,0,0,1.0,695.764466,701.972072,8264,133633,131072,1.5070847265718224,60.0,40928,20.0,45588,10.0,13412
go,3,backup-sse,2,2,2,0,0,0,1.0,697.831584,703.854505,8264,133632,131072,1.502620437426346,80.0,41420,10.0,45172,10.0,12796
