candidate,case,elapsed_ms,end_ns,http_status,kernel_connect_ms,port,received_bytes,requested_bytes,round,start_ns,status,ttfb_ms,worker_exit_code
mihomo,mixed,3.314376,5756709241618,200,0.238841,18080,4096,4096,1,5756705927242,PASS,3.256861,
mihomo,mixed,3.713524,5756733074894,200,0.347588,18080,4096,4096,1,5756729361370,PASS,3.659792,
mihomo,mixed,3.095864,5756756263377,200,0.223828,18080,4096,4096,1,5756753167513,PASS,3.025851,
mihomo,mixed,3.004386,5756779357190,200,0.159341,18080,4096,4096,1,5756776352804,PASS,2.948235,
mihomo,mixed,3.047054,5756802505323,200,0.232642,18080,4096,4096,1,5756799458269,PASS,3.007819,
mihomo,mixed,3.494661,5756826088081,200,0.229291,18080,4096,4096,1,5756822593420,PASS,3.389187,
mihomo,mixed,4.152414,5756850337493,200,0.279538,18080,4096,4096,1,5756846185079,PASS,4.034067,
mihomo,mixed,2.977439,5756873401480,200,0.172359,18080,4096,4096,1,5756870424041,PASS,2.925466,
mihomo,mixed,3.186037,5756896685449,200,0.249858,18080,4096,4096,1,5756893499412,PASS,3.124604,
mihomo,mixed,3.212577,5756919993190,200,0.358058,18080,4096,4096,1,5756916780613,PASS,3.171668,
mihomo,mixed,3.098527,5756943123065,200,0.209273,18080,4096,4096,1,5756940024538,PASS,2.99428,
mihomo,mixed,3.2874,5756966493787,200,0.244318,18080,4096,4096,1,5756963206387,PASS,3.229281,
mihomo,mixed,3.349098,5756989934311,200,0.169033,18080,4096,4096,1,5756986585213,PASS,3.294399,
mihomo,mixed,3.16838,5757013223545,200,0.230942,18080,4096,4096,1,5757010055165,PASS,3.072208,
mihomo,mixed,3.163033,5757036493025,200,0.20107,18080,4096,4096,1,5757033329992,PASS,3.102555,
mihomo,mixed,4.871143,5757061474358,200,0.202602,18080,4096,4096,1,5757056603215,PASS,4.819158,
mihomo,mixed,3.070776,5757084620828,200,0.19992,18080,4096,4096,1,5757081550052,PASS,3.015557,
mihomo,mixed,2.723939,5757107429739,200,0.183671,18080,4096,4096,1,5757104705800,PASS,2.597857,
mihomo,mixed,3.205063,5757130720702,200,0.213049,18080,4096,4096,1,5757127515639,PASS,3.141413,
mihomo,mixed,2.834743,5757153640548,200,0.194801,18080,4096,4096,1,5757150805805,PASS,2.773696,
mihomo,mixed,2.94751,5757176673460,200,0.275746,18080,4096,4096,1,5757173725950,PASS,2.887376,
mihomo,mixed,2.820372,5757199577130,200,0.204141,18080,4096,4096,1,5757196756758,PASS,2.723037,
mihomo,mixed,3.193305,5757222856124,200,0.271132,18080,4096,4096,1,5757219662819,PASS,3.058776,
mihomo,mixed,3.433045,5757246374454,200,0.209192,18080,4096,4096,1,5757242941409,PASS,3.348168,
mihomo,mixed,3.054153,5757269557584,200,0.142597,18080,4096,4096,1,5757266503431,PASS,2.933793,
mihomo,mixed,3.039357,5757292699150,200,0.196262,18080,4096,4096,1,5757289659793,PASS,2.925163,
mihomo,mixed,3.768163,5757316561135,200,0.353288,18080,4096,4096,1,5757312792972,PASS,3.700631,
mihomo,mixed,3.057757,5757339709448,200,0.146799,18080,4096,4096,1,5757336651691,PASS,2.984166,
mihomo,mixed,3.324221,5757363128472,200,0.281742,18080,4096,4096,1,5757359804251,PASS,3.286446,
mihomo,mixed,3.481592,5757386718274,200,0.294177,18080,4096,4096,1,5757383236682,PASS,3.391948,
mihomo,mixed,3.200681,5757410016205,200,0.251617,18080,4096,4096,1,5757406815524,PASS,3.162015,
mihomo,mixed,2735.468979,5759415731840,200,0.380717,18081,33554432,33554432,1,5756680262861,PASS,1.897776,
gvisor,cold-reality,4.754569,5759663517878,200,3.362631,18080,4096,4096,1,5759658763309,PASS,4.605272,0
gvisor,cold-hy2,5.678248,5759739271284,200,4.26042,18081,4096,4096,1,5759733593036,PASS,5.637913,0
gvisor,warm-reality,3.815059,5759812517678,200,2.658154,18080,4096,4096,1,5759808702619,PASS,3.759348,0
gvisor,warm-reality,3.653579,5759887904043,200,2.526888,18080,4096,4096,1,5759884250464,PASS,3.476843,0
gvisor,warm-reality,3.714623,5759961174962,200,2.512999,18080,4096,4096,1,5759957460339,PASS,3.582245,0
gvisor,warm-reality,3.376105,5760035502206,200,2.337814,18080,4096,4096,1,5760032126101,PASS,3.308047,0
gvisor,warm-reality,3.64997,5760108639129,200,2.537669,18080,4096,4096,1,5760104989159,PASS,3.588896,0
gvisor,warm-reality,3.469442,5760185088934,200,2.457228,18080,4096,4096,1,5760181619492,PASS,3.424015,0
gvisor,warm-reality,3.594083,5760258714037,200,2.506813,18080,4096,4096,1,5760255119954,PASS,3.549423,0
gvisor,warm-reality,3.70806,5760333781672,200,2.623736,18080,4096,4096,1,5760330073612,PASS,3.632043,0
gvisor,warm-reality,3.607742,5760407305130,200,2.45849,18080,4096,4096,1,5760403697388,PASS,3.496923,0
gvisor,warm-reality,3.617612,5760482381001,200,2.434944,18080,4096,4096,1,5760478763389,PASS,3.550664,0
gvisor,warm-reality,3.768574,5760556346836,200,2.539821,18080,4096,4096,1,5760552578262,PASS,3.699435,0
gvisor,warm-reality,3.288326,5760627600600,200,2.278118,18080,4096,4096,1,5760624312274,PASS,3.249397,0
gvisor,short,10.910449,5760711568738,200,8.717233,18080,4096,4096,1,5760700658289,PASS,10.864731,
gvisor,short,10.019613,5760710940455,200,5.715902,18080,4096,4096,1,5760700920842,PASS,9.938341,
gvisor,short,15.928815,5760717105567,200,14.894506,18080,4096,4096,1,5760701176752,PASS,15.808333,
gvisor,short,11.12705,5760712519671,200,9.939275,18080,4096,4096,1,5760701392621,PASS,11.069133,
gvisor,short,13.426236,5760715042526,200,12.558678,18080,4096,4096,1,5760701616290,PASS,13.243671,
